Id,L0_S0_F0,L0_S0_F18,L0_S2_F52,L0_S3_F92,L0_S7_F136,L0_S9_F170,L0_S10_F224,L0_S10_F274,L0_S11_F318,L0_S12_F342,L0_S14_F366,L0_S15_F403,L0_S18_F435,L0_S21_F472,L0_S21_F522,L0_S22_F576,L0_S23_F627,L0_S23_F667,L1_S24_F733,L1_S24_F795,L1_S24_F834,L1_S24_F892,L1_S24_F953,L1_S24_F1000,L1_S24_F1026,L1_S24_F1083,L1_S24_F1126,L1_S24_F1176,L1_S24_F1240,L1_S24_F1298,L1_S24_F1356,L1_S24_F1401,L1_S24_F1451,L1_S24_F1502,L1_S24_F1567,L1_S24_F1604,L1_S24_F1662,L1_S24_F1728,L1_S24_F1778,L1_S24_F1814,L1_S24_F1838,L1_S25_F1869,L1_S25_F1909,L1_S25_F1963,L1_S25_F2016,L1_S25_F2066,L1_S25_F2116,L1_S25_F2161,L1_S25_F2190,L1_S25_F2226,L1_S25_F2258,L1_S25_F2312,L1_S25_F2365,L1_S25_F2411,L1_S25_F2437,L1_S25_F2462,L1_S25_F2487,L1_S25_F2514,L1_S25_F2569,L1_S25_F2623,L1_S25_F2677,L1_S25_F2716,L1_S25_F2741,L1_S25_F2767,L1_S25_F2795,L1_S25_F2842,L1_S25_F2896,L1_S25_F2950,L1_S25_F2997,L1_S25_F3020,L2_S26_F3047,L2_S26_F3121,L2_S27_F3170,L2_S28_F3241,L2_S28_F3311,L3_S29_F3342,L3_S29_F3376,L3_S29_F3412,L3_S29_F3449,L3_S29_F3479,L3_S30_F3519,L3_S30_F3569,L3_S30_F3614,L3_S30_F3664,L3_S30_F3714,L3_S30_F3764,L3_S30_F3814,L3_S33_F3855,L3_S34_F3876,L3_S35_F3908,L3_S37_F3944,L3_S39_F3972,L3_S41_F3996,L3_S41_F4018,L3_S43_F4090,L3_S44_F4121,L3_S47_F4158,L3_S48_F4200,L3_S50_F4241,L3_S51_F4262,Response,L0_S0_D1,L0_S3_D94,L0_S9_D197,L0_S11_D328,L0_S15_D413,L0_S21_D514,L0_S23_D649,L1_S24_D782,L1_S24_D904,L1_S24_D1023,L1_S24_D1143,L1_S24_D1257,L1_S24_D1403,L1_S24_D1522,L1_S24_D1639,L1_S24_D1785,L1_S25_D1857,L1_S25_D1980,L1_S25_D2128,L1_S25_D2214,L1_S25_D2314,L1_S25_D2434,L1_S25_D2499,L1_S25_D2615,L1_S25_D2729,L1_S25_D2794,L1_S25_D2932,L1_S25_D3025,L2_S26_D3122,L2_S28_D3227,L3_S29_D3331,L3_S29_D3415,L3_S30_D3501,L3_S30_D3651,L3_S30_D3796,L3_S35_D3895,L3_S40_D3987,L3_S42_D4053,L3_S47_D4170,L3_S51_D4263,L0_S1_F25,L0_S6_F133,L0_S10_F238,L0_S14_F367,L0_S21_F495,L0_S22_F585,L1_S24_F686,L1_S24_F769,L1_S24_F868,L1_S24_F956,L1_S24_F1064,L1_S24_F1167,L1_S24_F1263,L1_S24_F1350,L1_S24_F1440,L1_S24_F1542,L1_S24_F1638,L1_S24_F1726,L1_S25_F1861,L1_S25_F1962,L1_S25_F2050,L1_S25_F2142,L1_S25_F2286,L1_S25_F2376,L1_S25_F2546,L1_S25_F2635,L1_S25_F2774,L1_S25_F2882,L1_S25_F2973,L2_S26_F3105,L2_S27_F3202,L2_S28_F3298,L3_S29_F3446,L3_S30_F3557,L3_S30_F3648,L3_S30_F3740,L3_S30_F3832,L3_S42_F4031,L3_S46_F4136,L3_S49_F4240
26103,0.101,0.002,,0.019,,,,,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,0.036,0.051,-0.056,-0.055,0.27,0.097,0.0,0.011,0.0,0.009,0.013,-0.074,0.0,,0.0,,,,,,,,,,0,1692.69,1692.69,,1692.72,,,,,,,,,,,,,,,,,,,,,,,,,,,1709.19,1709.19,1709.2,1709.2,1709.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
49180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039,,,0.098,-0.008,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,-0.009,0.082,0.108,0.004,0.007,,,,,0.004,0.013,-0.074,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,425.41,425.52,,,,,,,,,,,,,473.67,473.67,473.67,,473.67,473.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
25972,,,,,,,,,,0.002,0.066,,-0.01,0.034,-0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.106,-0.104,0.063,-0.106,-0.043,0.033,-0.2,0.0,-0.001,0.0,0.018,0.013,-0.119,0.0,0.0,0.0,,,,,,,,,,0,,,,,,1127.9,,,,,,,,,,,,,,,,,,,,,,,,,1129.12,1129.12,1129.13,1129.13,1129.13,1129.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
24663,,,,,,,,,,-0.006,0.066,,-0.01,0.096,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,0.042,-0.702,0.117,,-0.046,,,,,0.01,0.013,0.062,0.0,,0.0,,,,,,,,,,0,,,,,,121.19,,,,,,,,,,,,,,,,,,,,,,,,,123.46,123.46,123.46,,123.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
24635,-0.062,-0.019,0.0,,,,0.299,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.132,0.037,0.004,-0.008,-0.151,,,,,0.013,0.013,-0.119,0.0,0.0,0.0,,,,,,,,,,0,269.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.09,270.09,270.09,,270.09,270.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
22184,0.049,0.019,,-0.081,0.336,,,,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.031,,-0.04,0.198,0.0,,0.0,0,113.44,113.45,,113.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.65,,114.67,114.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,0.121,-0.088,0.0,,,,-0.06,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,-0.132,-0.072,0.063,-0.132,-0.027,0.033,-0.173,0.0,0.007,0.0,0.014,0.013,-0.029,0.0,0.0,0.0,,,,,,,,,,0,1108.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110.19,1110.19,1110.19,1110.19,1110.19,1110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,-0.127,-0.024,0.0,,0.336,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,-0.055,,,,0.109,0.1,0.057,0.109,0.008,0.007,0.124,0.0,-0.004,0.0,0.019,0.013,0.017,0.0,0.0,0.0,,,,,,,,,,0,904.13,,904.16,,,,,,,,,,,,,,,,,,,,,,,,,,906.12,,907.88,907.88,907.88,907.88,907.88,907.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038,0.0,0.001,,,-0.054,0.045,,,,,,,,,,,,,,,,,,,,,,,-0.239,-0.106,,,,0.121,0.042,0.063,0.121,-0.302,0.112,0.016,0.0,0.013,0.0,0.011,0.013,-0.029,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,996.36,,996.48,,,,,,,,,,1177.74,,1191.0,1191.0,1191.0,1191.0,1191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
7594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,-0.001,-0.002,,,-0.068,-0.148,,,,,,,,,,,,,,,,,,,,,,,0.186,-0.073,,,,-0.005,-0.104,0.063,-0.005,-0.02,0.059,-0.119,0.0,0.012,0.0,0.013,0.013,0.153,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,976.97,,977.14,,,,,,,,,,992.6,,996.06,996.06,996.07,996.07,996.07,996.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,-0.008,-0.043,,,-0.068,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,-0.132,-0.053,0.063,-0.132,0.02,-0.125,-0.146,0.0,-0.013,0.0,0.018,0.013,-0.074,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,972.27,972.28,,,,,,,,,,,,,,,,990.57,990.57,990.57,990.57,990.57,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,
4728,0.023,0.125,,0.119,-0.164,,-0.038,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,0.134,-0.053,0.057,0.134,-0.012,-0.02,-0.011,0.0,0.012,0.0,0.014,0.013,0.108,0.0,,0.0,,,,,,,,,,0,819.92,819.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.98,823.98,823.98,823.98,823.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
46111,0.173,-0.072,,-0.081,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,-0.168,0.101,0.033,-0.004,-0.046,-0.092,0.0,-0.012,0.0,0.016,0.013,-0.165,0.0,,0.0,,,,,,,,,,0,677.22,677.23,677.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.57,683.57,683.57,683.57,683.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55678,0.036,0.104,,-0.081,-0.164,-0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.157,-0.098,0.082,-0.157,-0.067,-0.02,0.232,0.0,-0.012,0.0,0.01,0.013,0.017,0.0,,0.0,,,,,,,,,,0,1365.45,1365.46,1365.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.65,1367.65,1367.65,1367.65,1367.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
49043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,,,-0.077,,0.047,-0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012,-0.048,,,,0.16,0.03,0.057,0.16,0.043,-0.151,0.016,0.0,0.029,0.0,0.011,0.013,0.108,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,671.98,,,,,,,,,,,,,,,707.63,,711.08,711.08,711.09,711.09,711.09,,,,,,,,,,,,,,,,,,,,,T1,,T1,,,,,,,,,,,,,,,T1,,,,,,,
29902,,,,,,,,,,-0.018,,0.45,-0.01,,,,0.056,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.091,0.063,-0.056,-0.012,0.322,-0.038,0.0,-0.013,0.0,0.014,0.013,0.017,0.0,0.0,0.0,,,,,,,,,,0,,,,,979.5,,979.53,,,,,,,,,,,,,,,,,,,,,,,,981.29,981.29,981.29,981.29,981.29,981.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
41362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.001,0.0,,-0.014,,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,-0.111,0.082,0.096,-0.008,-0.178,,,,,0.012,0.013,0.153,0.0,0.0,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,447.81,,,,,,,,,,,,,,492.07,492.07,492.07,,492.07,492.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
36416,0.069,0.227,0.0,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,,,0.058,0.011,0.057,0.058,-0.027,-0.283,0.07,0.0,0.012,0.0,0.018,0.013,0.017,0.0,,0.0,,,,,,,,,,0,820.17,,820.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.61,823.61,823.62,823.62,823.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
47865,-0.023,0.008,0.0,,0.336,,0.049,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.132,-0.021,0.063,-0.132,0.075,0.007,-0.011,0.0,-0.012,0.0,0.011,0.013,-0.074,0.0,,0.0,,,,,,,,,,0,959.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.19,962.19,962.2,962.2,962.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
9401,-0.042,-0.11,,0.019,0.336,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.028,0.104,-0.056,-0.094,0.138,0.07,0.0,0.004,0.0,-0.969,-0.987,0.108,0.0,,0.0,,,,,,,,,,1,1499.82,1499.82,1499.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.86,1507.86,1507.9,1507.9,1507.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
54164,0.043,-0.137,0.0,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.272,-0.702,0.041,,0.033,,,,,0.01,0.013,-0.074,0.0,0.0,0.0,,,,,,,,,,0,141.19,,141.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.18,150.18,150.19,,150.19,150.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26231,,,,,,,,,,0.014,,-0.335,-0.01,,,,-0.012,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,-0.085,0.101,0.109,0.047,-0.204,-0.065,0.0,-0.012,0.0,0.013,0.013,0.017,0.0,0.0,0.0,,,,,,,,,,0,,,,,683.85,,683.87,,,,,,,,,,,,,,,,,,,,,,,,686.94,686.94,686.97,686.97,686.97,686.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,-0.07,0.002,,,0.143,0.036,-0.022,0.215,,,,-0.056,-0.111,0.063,-0.056,-0.027,0.112,0.07,0.0,-0.013,0.0,0.009,0.013,0.017,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1011.37,,1011.39,1030.95,,1039.97,1039.97,1039.98,1039.98,1039.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
59392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365,,,,,,,,-0.02,,0.095,-0.022,0.01,-0.032,0.224,-0.056,,,,0.02,-0.098,0.063,0.02,-0.027,-0.02,0.016,0.0,0.011,0.0,0.019,0.013,0.244,0.0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1051.7,1051.7,1051.71,1072.28,,1076.82,1076.82,1076.82,1076.82,1076.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59589,0.003,-0.035,0.0,,0.336,,-0.073,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,-0.072,0.082,-0.031,-0.016,-0.046,0.178,0.0,-0.012,0.0,0.012,0.013,0.017,0.0,,0.0,,,,,,,,,,0,1343.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.75,1350.75,1350.75,1350.75,1350.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40411,,,,,,,,,,-0.006,-0.034,,-0.01,-0.044,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,-0.04,0.057,0.134,0.016,-0.046,-0.092,0.0,-0.011,0.0,0.018,0.013,0.108,0.0,,0.0,,,,,,,,,,0,,,,,,692.29,,,,,,,,,,,,,,,,,,,,,,,,,694.0,694.0,694.0,694.0,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
6916,,,,,,,,,,-0.018,,-0.355,-0.01,-0.064,-0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,-0.091,0.057,0.033,,-0.072,-0.146,0.0,-0.013,0.0,-0.969,-0.987,0.017,0.0,0.0,0.0,,,,,,,,,,0,,,,,876.86,876.91,,,,,,,,,,,,,,,,,,,,,,,,,878.21,878.21,878.29,878.29,878.29,878.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,
